               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.037856,           0.0080243,            0.014859,             0.81669,             0.20678,             0.22865,             0.10704,            0.037028,           0.0087653,            0.014578,           0.0088755,           0.0088755,           0.0088755
                  48,             0.03613,             0.00835,            0.013103,             0.80861,             0.22877,             0.23301,             0.10765,            0.036774,            0.008724,            0.013951,           0.0088283,           0.0088283,           0.0088283
                  49,            0.036202,           0.0079512,            0.014305,             0.67131,             0.26241,             0.25102,              0.1217,            0.035892,           0.0087064,            0.014006,           0.0087804,           0.0087804,           0.0087804
                  50,            0.035177,           0.0081115,            0.012532,             0.67898,             0.23926,             0.23735,             0.10904,            0.038352,           0.0086892,            0.013789,           0.0087316,           0.0087316,           0.0087316
                  51,            0.036225,           0.0082057,              0.0125,             0.77978,             0.22319,             0.23695,             0.11078,            0.036794,           0.0087817,            0.013741,            0.008682,            0.008682,            0.008682
                  52,            0.036849,           0.0078542,            0.013638,             0.67873,             0.24122,             0.22865,             0.10345,            0.037782,           0.0086971,            0.013382,           0.0086316,           0.0086316,           0.0086316
                  53,            0.035392,           0.0084541,            0.014231,             0.68718,             0.23374,             0.24763,              0.1126,            0.037402,           0.0088498,            0.013337,           0.0085805,           0.0085805,           0.0085805
                  54,            0.034224,           0.0080606,            0.011736,             0.62337,             0.27795,             0.24684,               0.113,            0.037469,           0.0085979,            0.012803,           0.0085286,           0.0085286,           0.0085286
                  55,            0.034855,           0.0080501,            0.011064,             0.68347,             0.25482,             0.25023,             0.11958,            0.036216,           0.0085591,            0.013016,           0.0084759,           0.0084759,           0.0084759
                  56,            0.034173,           0.0080215,            0.011175,             0.71806,              0.2459,             0.24994,             0.11941,            0.037662,           0.0086212,             0.01261,           0.0084225,           0.0084225,           0.0084225
                  57,            0.034785,           0.0080214,            0.011548,             0.79698,             0.20116,              0.2246,             0.10524,            0.037197,            0.009196,            0.013725,           0.0083684,           0.0083684,           0.0083684
                  58,            0.035663,           0.0078707,             0.01184,             0.76864,             0.23975,             0.25489,             0.12594,            0.035836,           0.0087822,            0.013737,           0.0083136,           0.0083136,           0.0083136
                  59,            0.035723,           0.0083825,            0.014257,             0.82633,             0.23785,             0.25226,             0.11531,            0.037309,           0.0089623,            0.013632,           0.0082581,           0.0082581,           0.0082581
                  60,             0.03629,           0.0082289,            0.013818,             0.78632,             0.22006,             0.22623,            0.097852,             0.03875,           0.0096406,            0.013502,           0.0082019,           0.0082019,           0.0082019
                  61,            0.035079,           0.0081393,            0.010258,             0.62523,             0.32885,             0.27572,             0.13875,            0.037207,           0.0085248,            0.012781,            0.008145,            0.008145,            0.008145
                  62,            0.035469,           0.0080614,            0.012338,             0.70725,             0.26528,             0.26521,             0.11989,            0.038718,           0.0084843,            0.012338,           0.0080875,           0.0080875,           0.0080875
                  63,            0.038449,           0.0077997,            0.012022,             0.68107,             0.25862,              0.2649,             0.12588,             0.03667,           0.0085056,            0.012722,           0.0080294,           0.0080294,           0.0080294
                  64,            0.033048,           0.0079414,            0.010107,             0.60959,             0.32062,              0.2775,             0.13781,            0.036041,           0.0085612,              0.0142,           0.0079706,           0.0079706,           0.0079706
                  65,            0.033504,           0.0078887,            0.010679,             0.60524,             0.34626,              0.2877,             0.14571,            0.035801,            0.008564,             0.01201,           0.0079112,           0.0079112,           0.0079112
                  66,            0.034629,            0.007825,            0.011183,             0.59741,             0.33675,             0.29021,             0.14346,            0.035035,            0.008488,            0.012924,           0.0078512,           0.0078512,           0.0078512
                  67,            0.032634,           0.0076679,            0.011372,             0.59495,             0.30156,             0.26844,             0.12898,            0.036689,           0.0088042,            0.012352,           0.0077907,           0.0077907,           0.0077907
                  68,            0.033996,            0.007459,            0.011526,             0.58103,             0.34057,             0.28327,             0.14346,            0.035841,           0.0086066,             0.01346,           0.0077296,           0.0077296,           0.0077296
                  69,            0.033777,           0.0077401,            0.011562,             0.57527,             0.33646,             0.27539,             0.13404,            0.036425,           0.0086303,            0.014331,           0.0076679,           0.0076679,           0.0076679
                  70,            0.032965,           0.0076954,            0.010768,             0.58526,             0.33408,             0.28493,             0.13942,            0.036243,           0.0085296,            0.011894,           0.0076057,           0.0076057,           0.0076057
                  71,            0.036525,           0.0079254,            0.011334,             0.56766,             0.35725,             0.29144,             0.14325,            0.035383,           0.0084207,            0.013467,            0.007543,            0.007543,            0.007543
                  72,            0.033962,           0.0078278,            0.010603,             0.59928,             0.33488,             0.27741,             0.13506,            0.036382,           0.0087822,            0.013324,           0.0074797,           0.0074797,           0.0074797
                  73,            0.032415,           0.0079841,           0.0097263,              0.6316,             0.30817,             0.27965,             0.13848,            0.035522,           0.0084961,            0.012075,            0.007416,            0.007416,            0.007416
                  74,            0.033263,           0.0077261,            0.010725,              0.8216,             0.25768,               0.298,              0.1467,            0.033533,           0.0083376,            0.011851,           0.0073518,           0.0073518,           0.0073518
                  75,            0.032655,           0.0077135,            0.010476,             0.69141,             0.28401,             0.28519,             0.14025,            0.034816,           0.0083965,            0.012018,           0.0072872,           0.0072872,           0.0072872
                  76,            0.032054,           0.0074883,             0.01018,             0.67958,             0.28965,              0.2878,             0.14564,            0.034218,           0.0084685,            0.011832,           0.0072221,           0.0072221,           0.0072221
                  77,            0.031452,           0.0076739,            0.011067,             0.62985,             0.34449,             0.31188,             0.16415,            0.034354,           0.0083035,            0.012151,           0.0071566,           0.0071566,           0.0071566
                  78,            0.035083,           0.0073996,             0.01075,              0.5823,             0.35811,             0.29779,             0.14933,            0.034884,           0.0084954,            0.012279,           0.0070906,           0.0070906,           0.0070906
                  79,            0.031706,           0.0076806,            0.010178,             0.68359,             0.33525,             0.30926,             0.15622,            0.034159,           0.0084765,            0.011707,           0.0070243,           0.0070243,           0.0070243
                  80,            0.032065,            0.007658,            0.010469,             0.64618,              0.3146,              0.2877,             0.13903,            0.035477,           0.0084669,            0.013705,           0.0069576,           0.0069576,           0.0069576
